24 38
0 1 0.5
1 0 0.5
0 2 0.5
2 0 0.5
0 3 0.2
3 0 0.2
0 4 0.2
4 0 0.2
1 2 0.33
2 1 0.33
1 5 0.9
5 1 0.9
2 3 0.23
3 2 0.23
2 6 0.9
6 2 0.9
3 4 0.26
4 3 0.26
3 7 0.6
7 3 0.6
4 9 0.5
9 4 0.5
5 6 0.26
6 5 0.26
5 10 0.2
10 5 0.2
6 7 0.26
7 6 0.26
6 11 0.2
11 6 0.2
7 8 0.13
8 7 0.13
7 14 0.8
14 7 0.8
8 9 0.3
9 8 0.3
9 15 0.7
15 9 0.7
10 12 0.25
12 10 0.25
11 13 0.25
13 11 0.25
12 16 0.25
16 12 0.25
12 13 0.16
13 12 0.16
13 17 0.25
17 13 0.25
13 14 0.13
14 13 0.13
14 18 0.4
18 14 0.4
14 15 0.2
15 14 0.2
15 22 0.9
22 15 0.9
16 19 0.5
19 16 0.5
17 20 0.3
20 17 0.3
18 21 0.25
21 18 0.25
19 23 0.5
23 19 0.5
19 20 0.26
20 19 0.26
20 23 0.3
23 20 0.3
20 21 0.18
21 20 0.18
21 23 0.25
23 21 0.25
21 22 0.58
22 21 0.58
22 23 0.5
23 22 0.5
